path,domain,subdomain,priority_tier,review_status,correctness_status,quality_status,link_status,duplication_status,acronym_status,release_relevance,reviewer,reviewed_at_utc
README.md,root,front_page,1,reviewed,pass,pass,pass,pass,pass,critical,codex_release_audit,2026-04-11T05:07:46.870088+00:00
docs/quick_tutorial.md,docs,tutorials,2,reviewed,pass,pass,pass,pass,pass,critical,codex_release_audit,2026-04-11T05:07:46.870088+00:00
docs/tutorials/README.md,docs,tutorials,2,reviewed,pass,pass,pass,pass,pass,critical,codex_release_audit,2026-04-11T05:07:46.870088+00:00
docs/tutorials/hello_world.md,docs,tutorials,2,reviewed,pass,pass,pass,pass,pass,high,codex_release_audit,2026-04-11T05:07:46.870088+00:00
docs/tutorials/nearest_neighbor_workloads.md,docs,tutorials,2,reviewed,pass,pass,pass,pass,pass,critical,codex_release_audit,2026-04-11T05:07:46.870088+00:00
docs/tutorials/rendering_and_visual_demos.md,docs,tutorials,2,reviewed,pass,pass,pass,pass,pass,high,codex_release_audit,2026-04-11T05:07:46.870088+00:00
docs/tutorials/segment_polygon_workloads.md,docs,tutorials,2,reviewed,pass,pass,pass,pass,pass,high,codex_release_audit,2026-04-11T05:07:46.870088+00:00
docs/tutorials/sorting_demo.md,docs,tutorials,2,reviewed,pass,pass,pass,pass,pass,high,codex_release_audit,2026-04-11T05:07:46.870088+00:00
docs/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,critical,codex_release_audit,2026-04-11T05:07:46.870088+00:00
docs/ai_collaboration_workflow.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,supporting,codex,2026-04-11T12:21:57.524255+00:00
docs/architecture_api_performance_overview.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:58:54.596171+00:00
docs/archive/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T11:00:17.340692+00:00
docs/archive/v0_1/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/assets/rtdl_visual_demo_thumb.png,docs,docs,3,not_reviewed,unchecked,unchecked,unchecked,unchecked,unchecked,unknown,,
docs/audit_flow.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:58:54.596171+00:00
docs/current_milestone_qa.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T10:58:54.596171+00:00
docs/development_reliability_process.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:58:54.596171+00:00
docs/embree_baseline_contracts.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,supporting,codex,2026-04-11T12:21:57.524255+00:00
docs/embree_baseline_plan.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,supporting,codex,2026-04-11T12:21:57.524255+00:00
docs/embree_evaluation_matrix.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,supporting,codex,2026-04-11T12:21:57.524255+00:00
docs/embree_evaluation_plan.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,supporting,codex,2026-04-11T12:21:57.524255+00:00
docs/embree_rayjoin_reproduction_program.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,supporting,codex,2026-04-11T12:21:57.524255+00:00
docs/engineering/handoffs/V0_4_FINAL_RELEASE_HANDOFF_HUB.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,release_adjacent_archive,codex,2026-04-11T10:58:54.596171+00:00
docs/features/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,critical,codex_release_audit,2026-04-11T05:11:23.419902+00:00
docs/features/fixed_radius_neighbors/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/features/knn_rows/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/features/lsi/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/features/overlay/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/features/pip/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/features/point_nearest_segment/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/features/polygon_pair_overlap_area_rows/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/features/polygon_set_jaccard/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/features/ray_tri_hitcount/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/features/segment_polygon_anyhit_rows/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/features/segment_polygon_hitcount/README.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,important,codex,2026-04-11T10:52:41.265651+00:00
docs/future_ray_tracing_directions.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,supporting,codex,2026-04-11T12:21:57.524255+00:00
docs/gemini_cli_notes.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,supporting,codex,2026-04-11T12:21:57.524255+00:00
docs/goal_100_release_validation_rerun.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/goal_101_hello_world_all_backend_validation.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/goal_102_full_honest_rayjoin_reproduction.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/goal_103_full_honest_rayjoin_reproduction_vulkan.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/goal_104_rayjoin_reproduction_performance_report.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/goal_105_final_release_audit.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/goal_106_repo_wide_review_and_audit.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/goal_107_v0_2_roadmap_planning.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/goal_108_v0_2_workload_scope_charter.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/goal_109_archive_v0_1_baseline.md,docs,docs,3,reviewed,pass,pass,pass,pass,pass,stale_but_acceptable,codex,2026-04-11T11:00:17.340692+00:00
docs/goal_10_more_workloads_plan.md,docs,docs,3,not_reviewed,unchecked,unchecked,unchecked,unchecked,unchecked,unknown,,
