goal_number,path,report_count,review_artifact_count,flow_basis,local_flow_check_status,ai_flow_check_artifact,ai_approve_artifact
100,docs/goal_100_release_validation_rerun.md,1,5,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
101,docs/goal_101_hello_world_all_backend_validation.md,1,4,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
102,docs/goal_102_full_honest_rayjoin_reproduction.md,3,5,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
103,docs/goal_103_full_honest_rayjoin_reproduction_vulkan.md,4,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
104,docs/goal_104_rayjoin_reproduction_performance_report.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
105,docs/goal_105_final_release_audit.md,3,1,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
106,docs/goal_106_repo_wide_review_and_audit.md,3,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
107,docs/goal_107_v0_2_roadmap_planning.md,4,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
108,docs/goal_108_v0_2_workload_scope_charter.md,2,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
109,docs/goal_109_archive_v0_1_baseline.md,2,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
10,docs/goal_10_more_workloads_plan.md,24,30,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
110,docs/goal_110_v0_2_segment_polygon_hitcount_closure.md,6,15,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
111,docs/goal_111_v0_2_generate_only_mvp.md,2,6,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
112,docs/goal_112_segment_polygon_performance_maturation.md,3,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
113,docs/goal_113_generate_only_maturation.md,2,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
114,docs/goal_114_segment_polygon_postgis_large_scale_validation.md,1,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
115,docs/goal_115_segment_polygon_feature_productization.md,1,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
116,docs/goal_116_segment_polygon_full_backend_audit.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
117,docs/goal_117_v0_2_feature_usage_surface.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
118,docs/goal_118_segment_polygon_linux_large_perf.md,3,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
119,docs/goal_119_segment_polygon_native_maturity_redesign.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
120,docs/goal_120_optix_segment_polygon_native_promotion.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
121,docs/goal_121_segment_polygon_bbox_prefilter.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
122,docs/goal_122_segment_polygon_candidate_index_redesign.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
123,docs/goal_123_optix_candidate_index_alignment.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
124,docs/goal_124_v0_2_review_backfill_and_status.md,1,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
125,docs/goal_125_v0_2_internal_backfill_and_external_review_packet.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
126,docs/goal_126_second_workload_family_selection.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
127,docs/goal_127_second_workload_family_anyhit_rows_closure.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
128,docs/goal_128_second_workload_family_postgis_and_linux_perf.md,5,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
129,docs/goal_129_generate_only_second_workload_expansion.md,1,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
130,docs/goal_130_v0_2_test_plan_and_execution.md,3,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
131,docs/goal_131_v0_2_linux_stress_audit.md,1,2,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
132,docs/goal_132_v0_2_user_doc_refresh.md,2,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
133,docs/goal_133_current_feature_execution_report.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
134,docs/goal_134_v0_2_process_audit_so_far.md,2,1,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
135,docs/goal_135_system_midterm_check.md,3,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
136,docs/goal_136_jaccard_similarity_evaluation.md,3,4,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
137,docs/goal_137_jaccard_workload_charter.md,3,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
138,docs/goal_138_polygon_pair_overlap_area_rows_closure.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
139,docs/goal_139_public_pathology_data_acquisition_and_conversion.md,2,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
13,docs/goal_13_rayjoin_paper_embree_plan.md,21,16,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
140,docs/goal_140_polygon_set_jaccard_closure.md,2,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
141,docs/goal_141_public_jaccard_linux_audit.md,2,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
142,docs/goal_142_jaccard_docs_and_generate_only.md,2,3,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
143,docs/goal_143_feature_home_documentation.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
144,docs/goal_144_project_memory_bootstrap.md,1,0,goal_specific_report_family,pass,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_claude_2026-04-07.md,/Users/rl2025/rtdl_python_only/docs/reports/goal160_external_review_gemini_2026-04-07.md
