[goal3834] Numba PIP baseline start
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 1/55 elapsed=0.391976s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 2/55 elapsed=0.000578s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 3/55 elapsed=0.000518s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 4/55 elapsed=0.000524s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 5/55 elapsed=0.000587s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 6/55 elapsed=0.000491s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 7/55 elapsed=0.000487s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 8/55 elapsed=0.000576s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 9/55 elapsed=0.000516s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 10/55 elapsed=0.000505s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 11/55 elapsed=0.000521s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 12/55 elapsed=0.000511s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 13/55 elapsed=0.000663s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 14/55 elapsed=0.000566s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 15/55 elapsed=0.000539s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 16/55 elapsed=0.000488s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 17/55 elapsed=0.000498s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 18/55 elapsed=0.000498s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 19/55 elapsed=0.000519s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 20/55 elapsed=0.000523s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 21/55 elapsed=0.000494s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 22/55 elapsed=0.000541s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 23/55 elapsed=0.000476s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 24/55 elapsed=0.000473s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 25/55 elapsed=0.000529s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 26/55 elapsed=0.000565s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 27/55 elapsed=0.000517s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 28/55 elapsed=0.000506s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 29/55 elapsed=0.000517s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 30/55 elapsed=0.000505s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 31/55 elapsed=0.000494s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 32/55 elapsed=0.000515s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 33/55 elapsed=0.000582s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 34/55 elapsed=0.000502s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 35/55 elapsed=0.000509s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 36/55 elapsed=0.000481s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 37/55 elapsed=0.000499s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 38/55 elapsed=0.000514s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 39/55 elapsed=0.000506s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 40/55 elapsed=0.000513s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 41/55 elapsed=0.000492s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 42/55 elapsed=0.000497s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 43/55 elapsed=0.000482s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 44/55 elapsed=0.000492s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 45/55 elapsed=0.000564s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 46/55 elapsed=0.000509s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 47/55 elapsed=0.000516s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 48/55 elapsed=0.000498s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 49/55 elapsed=0.000509s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 50/55 elapsed=0.000499s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 51/55 elapsed=0.000532s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 52/55 elapsed=0.000548s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 53/55 elapsed=0.000491s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 54/55 elapsed=0.000527s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 55/55 elapsed=0.000549s count=1417
[goal3834] RTDL/OptiX PIP route start
[goal3838] lsi_county512_soil512 Numba baseline start
[goal3838] lsi/numba_dense_all_pairs_scalar_count warmup 1/55 elapsed=0.128664s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count warmup 2/55 elapsed=0.023848s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count warmup 3/55 elapsed=0.024020s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count warmup 4/55 elapsed=0.023728s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count warmup 5/55 elapsed=0.023706s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 6/55 elapsed=0.023713s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 7/55 elapsed=0.023714s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 8/55 elapsed=0.023718s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 9/55 elapsed=0.021007s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 10/55 elapsed=0.020574s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 11/55 elapsed=0.020584s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 12/55 elapsed=0.020725s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 13/55 elapsed=0.020728s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 14/55 elapsed=0.020744s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 15/55 elapsed=0.020728s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 16/55 elapsed=0.020736s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 17/55 elapsed=0.020727s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 18/55 elapsed=0.020735s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 19/55 elapsed=0.020726s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 20/55 elapsed=0.020726s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 21/55 elapsed=0.020733s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 22/55 elapsed=0.020748s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 23/55 elapsed=0.020747s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 24/55 elapsed=0.020740s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 25/55 elapsed=0.020729s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 26/55 elapsed=0.020760s count=269
[goal3838] lsi/numba_dense_all_pairs_scalar_count repeat 27/55 elapsed=0.020765s count=269
