status,path,decision,category,rationale
 M,Makefile,include,build_config,Build configuration and backend build targets.
 M,README.md,include,release_facing_doc,Release-facing documentation.
 M,docs/README.md,include,release_facing_doc,Release-facing documentation.
 M,docs/features/README.md,include,release_facing_doc,Release-facing documentation.
 D,docs/goal_100_release_validation_rerun.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_101_hello_world_all_backend_validation.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_102_full_honest_rayjoin_reproduction.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_103_full_honest_rayjoin_reproduction_vulkan.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_104_rayjoin_reproduction_performance_report.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_105_final_release_audit.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_106_repo_wide_review_and_audit.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_107_v0_2_roadmap_planning.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_108_v0_2_workload_scope_charter.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_109_archive_v0_1_baseline.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_10_more_workloads_plan.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_110_v0_2_segment_polygon_hitcount_closure.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_111_v0_2_generate_only_mvp.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_112_segment_polygon_performance_maturation.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_113_generate_only_maturation.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_114_segment_polygon_postgis_large_scale_validation.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_115_segment_polygon_feature_productization.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_116_segment_polygon_full_backend_audit.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_117_v0_2_feature_usage_surface.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_118_segment_polygon_linux_large_perf.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_119_segment_polygon_native_maturity_redesign.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_120_optix_segment_polygon_native_promotion.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_121_segment_polygon_bbox_prefilter.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_122_segment_polygon_candidate_index_redesign.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_123_optix_candidate_index_alignment.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_124_v0_2_review_backfill_and_status.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_125_v0_2_internal_backfill_and_external_review_packet.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_126_second_workload_family_selection.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_127_second_workload_family_anyhit_rows_closure.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_128_second_workload_family_postgis_and_linux_perf.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_129_generate_only_second_workload_expansion.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_130_v0_2_test_plan_and_execution.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_131_v0_2_linux_stress_audit.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_132_v0_2_user_doc_refresh.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_133_current_feature_execution_report.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_134_v0_2_process_audit_so_far.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_135_system_midterm_check.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_136_jaccard_similarity_evaluation.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_137_jaccard_workload_charter.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_138_polygon_pair_overlap_area_rows_closure.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_139_public_pathology_data_acquisition_and_conversion.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_13_rayjoin_paper_embree_plan.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_140_polygon_set_jaccard_closure.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_141_public_jaccard_linux_audit.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_142_jaccard_docs_and_generate_only.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_143_feature_home_documentation.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_144_project_memory_bootstrap.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_145_v0_2_consensus_audit.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_146_jaccard_linux_multi_backend_stress.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_147_comprehensive_doc_review.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_148_v0_2_scope_status_package.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_149_front_door_and_example_consistency_freeze.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_14_section_5_6_exact_scale_plan.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_150_v0_2_release_readiness_and_stability.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_151_final_front_door_status_freeze.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_152_v0_2_release_statement_and_support_matrix.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_153_backend_loader_robustness.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_154_final_release_audit_and_tag_preparation.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_155_optix_linux_sdk_path_robustness.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_156_v0_2_release_refresh_after_optix_robustness.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_157_fresh_clone_external_agent_acceptance.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_158_rtdl_plus_python_demo_docs.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_159_v0_2_front_surface_consensus.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_160_full_project_level_audit.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_161_v0_3_visual_demo_charter.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_163_optix_correctness_reaudit.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
 D,docs/goal_164_spinning_ball_3d_backend_closure.md,include,archived_goal_doc,Root historical goal removal paired with archived goal documentation.
