label	status	rc	utc
setup_1	ok	0	2026-04-29T20:04:55Z
setup_2	ok	0	2026-04-29T20:05:10Z
setup_3	ok	0	2026-04-29T20:05:32Z
entry_1_goal1116_facility_knn_assignment_same_scale_validation_and_timing	ok	0	2026-04-29T20:07:55Z
entry_2_goal1116_robot_collision_screening_correctness_validation	ok	0	2026-04-29T20:08:57Z
entry_3_goal1116_robot_collision_screening_large_timing_repeat	ok	0	2026-04-29T20:09:17Z
entry_4_goal1116_barnes_hut_force_app_correctness_validation	ok	0	2026-04-29T20:11:33Z
entry_5_goal1116_barnes_hut_force_app_large_timing_repeat	ok	0	2026-04-29T20:13:57Z
entry_6_goal1135_database_analytics_compact_summary	ok	0	2026-04-29T20:14:05Z
entry_7_goal1135_graph_visibility_edges_gate	ok	0	2026-04-29T20:14:16Z
entry_8_goal1135_road_hazard_native_summary_count	ok	0	2026-04-29T20:14:22Z
entry_9_goal1135_polygon_pair_overlap_phase_gate	ok	0	2026-04-29T20:14:30Z
entry_10_goal1135_polygon_set_jaccard_phase_gate	ok	0	2026-04-29T20:14:42Z
entry_11_goal1135_hausdorff_threshold_phase_gate	ok	0	2026-04-29T20:14:44Z
