         171290 function calls (171194 primitive calls) in 0.361 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.003    0.000    0.361    0.023 v4_paper_apps_pyoptix_worker.py:323(execute)
       16    0.008    0.000    0.357    0.022 v4_whole_app.py:299(execute)
       16    0.008    0.001    0.172    0.011 v4_triangle_prepared_runtime.py:214(execute)
    80016    0.153    0.000    0.153    0.000 v4_whole_app.py:302(<genexpr>)
   112/32    0.000    0.000    0.073    0.002 diagnose_prepared_hot_path.py:42(measured)
       16    0.000    0.000    0.073    0.005 physical_execution_provenance.py:1198(finish)
       16    0.000    0.000    0.071    0.004 physical_execution_provenance.py:1170(capture)
       16    0.000    0.000    0.071    0.004 physical_execution_provenance.py:393(captured_traversal_observation_from_snapshot)
       16    0.000    0.000    0.070    0.004 diagnose_prepared_hot_path.py:63(measured_resolve)
       16    0.000    0.000    0.070    0.004 pathlib.py:1230(resolve)
       48    0.007    0.000    0.060    0.001 {built-in method builtins.any}
       16    0.000    0.000    0.055    0.003 <frozen posixpath>:431(realpath)
       16    0.000    0.000    0.055    0.003 <frozen posixpath>:440(_joinrealpath)
       64    0.054    0.001    0.054    0.001 {built-in method posix.lstat}
    80016    0.052    0.000    0.052    0.000 v4_triangle_prepared_runtime.py:299(<genexpr>)
      208    0.047    0.000    0.047    0.000 {built-in method numpy.asarray}
       16    0.000    0.000    0.014    0.001 pathlib.py:837(stat)
       16    0.014    0.001    0.014    0.001 {built-in method posix.stat}
      112    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       64    0.000    0.000    0.002    0.000 __init__.py:183(dumps)
       64    0.000    0.000    0.001    0.000 encoder.py:183(encode)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:1033(build_receipt)
       16    0.000    0.000    0.001    0.000 fromnumeric.py:2548(all)
       16    0.000    0.000    0.001    0.000 fromnumeric.py:86(_wrapreduction_any_all)
       96    0.001    0.000    0.001    0.000 {method 'update' of '_hashlib.HASH' objects}
       16    0.000    0.000    0.001    0.000 particle_adapter.py:140(observe_v4_particle_result)
       64    0.001    0.000    0.001    0.000 encoder.py:205(iterencode)
       80    0.001    0.000    0.001    0.000 {built-in method numpy.ascontiguousarray}
       16    0.000    0.000    0.001    0.000 v4_triangle_optix_runtime.py:106(_bindings)
       32    0.000    0.000    0.001    0.000 v4_triangle_optix_runtime.py:61(_digest)
       16    0.000    0.000    0.001    0.000 v4_triangle_prepared_runtime.py:30(_bulk_u32x3_digest)
       16    0.000    0.000    0.001    0.000 particle_adapter.py:23(_output_digest)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:341(_captured_snapshot_items)
       16    0.000    0.000    0.001    0.000 diagnose_prepared_hot_path.py:90(measured_open)
       48    0.000    0.000    0.001    0.000 numeric.py:2535(array_equal)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:1104(open)
