         9448 function calls (9384 primitive calls) in 0.016 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.017    0.001 v4_paper_apps_pyoptix_worker.py:323(execute)
       16    0.000    0.000    0.015    0.001 v4_whole_app.py:319(execute)
       16    0.005    0.000    0.015    0.001 v4_triangle_prepared_runtime.py:265(execute)
    96/32    0.000    0.000    0.003    0.000 diagnose_prepared_hot_path.py:43(measured)
       16    0.000    0.000    0.003    0.000 physical_execution_provenance.py:1220(finish)
      112    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       64    0.000    0.000    0.001    0.000 __init__.py:183(dumps)
       16    0.000    0.000    0.001    0.000 fromnumeric.py:2548(all)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:1192(capture)
       64    0.000    0.000    0.001    0.000 encoder.py:183(encode)
       16    0.000    0.000    0.001    0.000 fromnumeric.py:86(_wrapreduction_any_all)
       96    0.001    0.000    0.001    0.000 {method 'update' of '_hashlib.HASH' objects}
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:1055(build_receipt)
       64    0.001    0.000    0.001    0.000 encoder.py:205(iterencode)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:393(_captured_traversal_observation_from_frozen_provider_identity)
       16    0.000    0.000    0.001    0.000 particle_adapter.py:140(observe_v4_particle_result)
       80    0.001    0.000    0.001    0.000 {built-in method numpy.ascontiguousarray}
       16    0.000    0.000    0.001    0.000 v4_triangle_prepared_runtime.py:64(_bulk_u32x3_digest)
       16    0.000    0.000    0.001    0.000 v4_triangle_optix_runtime.py:106(_bindings)
       32    0.000    0.000    0.001    0.000 v4_triangle_optix_runtime.py:61(_digest)
       16    0.000    0.000    0.001    0.000 particle_adapter.py:23(_output_digest)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:341(_captured_snapshot_items)
       48    0.000    0.000    0.001    0.000 numeric.py:2535(array_equal)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:221(_stable_digest)
       16    0.000    0.000    0.001    0.000 v4_typed_physical_schema.py:357(plan_sha256)
      128    0.000    0.000    0.000    0.000 v4_triangle_optix_runtime.py:123(<genexpr>)
       16    0.000    0.000    0.000    0.000 diagnose_prepared_hot_path.py:91(measured_open)
       16    0.000    0.000    0.000    0.000 v4_typed_physical_schema.py:942(_sha)
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:1126(open)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       64    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.000    0.000 _shape_base_impl.py:625(column_stack)
       64    0.000    0.000    0.000    0.000 _methods.py:64(_all)
     1152    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       16    0.000    0.000    0.000    0.000 v4_typed_physical_schema.py:566(verify_buffer_bindings)
       32    0.000    0.000    0.000    0.000 physical_execution_provenance.py:319(_call_status)
       16    0.000    0.000    0.000    0.000 v4_triangle_prepared_runtime.py:45(_validate_compact_lifecycle_summary)
      528    0.000    0.000    0.000    0.000 physical_execution_provenance.py:350(<genexpr>)
     2080    0.000    0.000    0.000    0.000 physical_execution_provenance.py:1071(<genexpr>)
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:356(_captured_snapshot_dict)
       48    0.000    0.000    0.000    0.000 _internal.py:280(data_as)
       96    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       48    0.000    0.000    0.000    0.000 __init__.py:49(create_string_buffer)
      240    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       48    0.000    0.000    0.000    0.000 _ctypeslib.py:520(as_array)
       32    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       48    0.000    0.000    0.000    0.000 __init__.py:517(cast)
      208    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       32    0.000    0.000    0.000    0.000 random.py:889(getrandbits)
       96    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       32    0.000    0.000    0.000    0.000 _methods.py:55(_any)
       32    0.000    0.000    0.000    0.000 v4_triangle_prepared_runtime.py:239(_check)
       16    0.000    0.000    0.000    0.000 v4_paper_apps_pyoptix_worker.py:50(_traversal_projection)
      128    0.000    0.000    0.000    0.000 v4_triangle_prepared_runtime.py:46(<genexpr>)
      464    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       16    0.000    0.000    0.000    0.000 v4_triangle_prepared_runtime.py:247(lifecycle_receipt)
      384    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:365(_classify_snapshot)
