         6808 function calls (6744 primitive calls) in 0.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.006    0.000 v4_paper_apps_pyoptix_worker.py:478(execute)
       16    0.000    0.000    0.006    0.000 v4_aabb_relation_count_lowering.py:162(execute_count)
    96/32    0.000    0.000    0.003    0.000 diagnose_prepared_hot_path.py:43(measured)
       16    0.000    0.000    0.002    0.000 physical_execution_provenance.py:1220(finish)
       16    0.000    0.000    0.002    0.000 aabb_index.py:319(count_prepared_queries)
       16    0.002    0.000    0.002    0.000 optix_runtime.py:16903(count_prepared_queries)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:1192(capture)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:1055(build_receipt)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:393(_captured_traversal_observation_from_frozen_provider_identity)
       64    0.000    0.000    0.001    0.000 __init__.py:183(dumps)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:341(_captured_snapshot_items)
       64    0.000    0.000    0.001    0.000 encoder.py:183(encode)
       64    0.001    0.000    0.001    0.000 encoder.py:205(iterencode)
       16    0.000    0.000    0.001    0.000 physical_execution_provenance.py:221(_stable_digest)
       16    0.000    0.000    0.000    0.000 diagnose_prepared_hot_path.py:91(measured_open)
       32    0.000    0.000    0.000    0.000 v4_aabb_relation_count_lowering.py:36(_digest)
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:1126(open)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       32    0.000    0.000    0.000    0.000 physical_execution_provenance.py:319(_call_status)
     1088    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      528    0.000    0.000    0.000    0.000 physical_execution_provenance.py:350(<genexpr>)
     2080    0.000    0.000    0.000    0.000 physical_execution_provenance.py:1071(<genexpr>)
       16    0.000    0.000    0.000    0.000 v4_paper_apps_pyoptix_worker.py:39(_digest)
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:356(_captured_snapshot_dict)
       48    0.000    0.000    0.000    0.000 __init__.py:49(create_string_buffer)
       32    0.000    0.000    0.000    0.000 random.py:889(getrandbits)
      432    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       64    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       16    0.000    0.000    0.000    0.000 v4_paper_apps_pyoptix_worker.py:50(_traversal_projection)
      416    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       64    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       32    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:174(_registered_loaded_provider_identity)
       16    0.000    0.000    0.000    0.000 v4_aabb_relation_count_lowering.py:136(_guard)
      128    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      256    0.000    0.000    0.000    0.000 {built-in method time.perf_counter_ns}
       16    0.000    0.000    0.000    0.000 aabb_index.py:1734(_normalize_requested_operations)
      160    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:365(_classify_snapshot)
       16    0.000    0.000    0.000    0.000 pathlib.py:748(is_absolute)
       16    0.000    0.000    0.000    0.000 aabb_index.py:1740(_validate_operations)
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:276(_register_audit_abi)
       16    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       32    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       64    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       64    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
       16    0.000    0.000    0.000    0.000 aabb_index.py:1746(_validate_optix_operations)
       64    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       16    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       32    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:107(_require_sha256)
       16    0.000    0.000    0.000    0.000 optix_runtime.py:31162(_find_optional_backend_symbol)
       16    0.000    0.000    0.000    0.000 aabb_columns.py:84(__len__)
       32    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       32    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       16    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       16    0.000    0.000    0.000    0.000 <string>:2(__init__)
       32    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       48    0.000    0.000    0.000    0.000 {built-in method sys.audit}
       16    0.000    0.000    0.000    0.000 aabb_index.py:1741(<genexpr>)
       16    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
       16    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       16    0.000    0.000    0.000    0.000 enum.py:1292(value)
       16    0.000    0.000    0.000    0.000 optix_runtime.py:31192(_check_status)
       16    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       16    0.000    0.000    0.000    0.000 aabb_index.py:1747(<genexpr>)
       16    0.000    0.000    0.000    0.000 physical_execution_provenance.py:415(<genexpr>)
        7    0.000    0.000    0.000    0.000 diagnose_prepared_hot_path.py:59(<lambda>)
