goal,status,structured_revision_count,goal_archive_count,report_count,ad_hoc_review_count,primary_structured_revision,primary_goal_archive,sample_report,sample_ad_hoc_review
66,goal_doc_archive_only,0,1,2,3,,docs/history/goals/archive/goal_66_vulkan_correctness_closure.md,docs/reports/goal66_vulkan_correctness_closure_2026-04-04.md,history/ad_hoc_reviews/2026-04-04-codex-consensus-goal66-vulkan-correctness-closure.md
67,goal_doc_archive_only,0,1,4,3,,docs/history/goals/archive/goal_67_vulkan_and_doc_repair.md,docs/reports/goal67_vulkan_doc_repair_plan_2026-04-04.md,history/ad_hoc_reviews/2026-04-04-codex-consensus-goal67-doc-repair.md
68,goal_doc_archive_only,0,1,2,0,,docs/history/goals/archive/goal_68_vulkan_scalability_design.md,docs/reports/goal68_vulkan_scalability_design_options_2026-04-04.md,
69,goal_doc_archive_only,0,1,5,12,,docs/history/goals/archive/goal_69_pip_performance_repair.md,docs/reports/goal69_final_measured_artifact_note_2026-04-04.md,history/ad_hoc_reviews/2026-04-04-codex-consensus-goal69-final-package.md
70,goal_doc_archive_only,0,1,2,3,,docs/history/goals/archive/goal_70_optix_beats_postgis.md,docs/reports/goal70_optix_beats_postgis_2026-04-04.md,history/ad_hoc_reviews/2026-04-04-claude-review-goal70-final-package.md
71,goal_doc_archive_only,0,1,1,3,,docs/history/goals/archive/goal_71_embree_beats_postgis.md,docs/reports/goal71_embree_beats_postgis_2026-04-04.md,history/ad_hoc_reviews/2026-04-04-claude-review-goal71-final-package.md
72,goal_doc_archive_only,0,1,1,3,,docs/history/goals/archive/goal_72_vulkan_long_county_prepared_exec.md,docs/reports/goal72_vulkan_long_county_prepared_exec_2026-04-04.md,history/ad_hoc_reviews/2026-04-04-claude-review-goal72-final-package.md
73,goal_doc_archive_only,0,1,1,3,,docs/history/goals/archive/goal_73_linux_test_closure.md,docs/reports/goal73_linux_test_closure_2026-04-04.md,history/ad_hoc_reviews/2026-04-04-claude-review-goal73-final-package.md
74,goal_doc_archive_only,0,1,1,4,,docs/history/goals/archive/goal_74_three_ai_post_goal73_audit.md,docs/reports/goal74_three_ai_post_goal73_audit_2026-04-04.md,history/ad_hoc_reviews/2026-04-04-claude-review-goal74-final-package.md
75,goal_doc_archive_only,0,1,2,8,,docs/history/goals/archive/goal_75_oracle_trust_envelope.md,docs/reports/goal75_oracle_trust_envelope_2026-04-04.md,history/ad_hoc_reviews/2026-04-04-claude-review-goal75-final-package.md
76,goal_doc_archive_only,0,1,1,3,,docs/history/goals/archive/goal_76_runtime_prepared_cache.md,docs/reports/goal76_runtime_prepared_cache_2026-04-04.md,history/ad_hoc_reviews/2026-04-04-codex-consensus-goal76-runtime-prepared-cache.md
