[goal3834] Numba PIP baseline start
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 1/220 elapsed=0.365168s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 2/220 elapsed=0.000436s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 3/220 elapsed=0.000458s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 4/220 elapsed=0.000466s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 5/220 elapsed=0.000454s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 6/220 elapsed=0.000440s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 7/220 elapsed=0.000429s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 8/220 elapsed=0.000458s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 9/220 elapsed=0.000459s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 10/220 elapsed=0.000442s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 11/220 elapsed=0.000427s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 12/220 elapsed=0.000391s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 13/220 elapsed=0.000453s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 14/220 elapsed=0.000438s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 15/220 elapsed=0.000438s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 16/220 elapsed=0.000432s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 17/220 elapsed=0.000407s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 18/220 elapsed=0.000442s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 19/220 elapsed=0.000450s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count warmup 20/220 elapsed=0.000464s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 21/220 elapsed=0.000400s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 22/220 elapsed=0.000431s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 23/220 elapsed=0.000423s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 24/220 elapsed=0.000438s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 25/220 elapsed=0.000425s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 26/220 elapsed=0.000505s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 27/220 elapsed=0.000417s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 28/220 elapsed=0.000456s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 29/220 elapsed=0.000520s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 30/220 elapsed=0.000445s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 31/220 elapsed=0.000436s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 32/220 elapsed=0.000458s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 33/220 elapsed=0.000409s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 34/220 elapsed=0.000417s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 35/220 elapsed=0.000441s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 36/220 elapsed=0.000441s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 37/220 elapsed=0.000442s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 38/220 elapsed=0.000459s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 39/220 elapsed=0.000425s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 40/220 elapsed=0.000408s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 41/220 elapsed=0.000447s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 42/220 elapsed=0.000448s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 43/220 elapsed=0.000463s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 44/220 elapsed=0.000408s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 45/220 elapsed=0.000489s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 46/220 elapsed=0.000398s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 47/220 elapsed=0.000414s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 48/220 elapsed=0.000429s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 49/220 elapsed=0.000448s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 50/220 elapsed=0.000429s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 51/220 elapsed=0.000432s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 52/220 elapsed=0.000480s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 53/220 elapsed=0.000391s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 54/220 elapsed=0.000433s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 55/220 elapsed=0.000423s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 56/220 elapsed=0.000440s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 57/220 elapsed=0.000416s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 58/220 elapsed=0.000415s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 59/220 elapsed=0.000434s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 60/220 elapsed=0.000422s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 61/220 elapsed=0.000488s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 62/220 elapsed=0.000463s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 63/220 elapsed=0.000407s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 64/220 elapsed=0.000401s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 65/220 elapsed=0.000447s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 66/220 elapsed=0.000440s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 67/220 elapsed=0.000447s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 68/220 elapsed=0.000439s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 69/220 elapsed=0.000459s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 70/220 elapsed=0.000430s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 71/220 elapsed=0.000457s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 72/220 elapsed=0.000439s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 73/220 elapsed=0.000431s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 74/220 elapsed=0.000397s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 75/220 elapsed=0.000405s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 76/220 elapsed=0.000456s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 77/220 elapsed=0.000415s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 78/220 elapsed=0.000424s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 79/220 elapsed=0.000424s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 80/220 elapsed=0.000424s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 81/220 elapsed=0.000446s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 82/220 elapsed=0.000437s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 83/220 elapsed=0.000405s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 84/220 elapsed=0.000497s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 85/220 elapsed=0.000406s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 86/220 elapsed=0.000414s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 87/220 elapsed=0.000431s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 88/220 elapsed=0.000414s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 89/220 elapsed=0.000423s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 90/220 elapsed=0.000449s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 91/220 elapsed=0.000456s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 92/220 elapsed=0.000456s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 93/220 elapsed=0.000430s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 94/220 elapsed=0.000447s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 95/220 elapsed=0.000439s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 96/220 elapsed=0.000408s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 97/220 elapsed=0.000439s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 98/220 elapsed=0.000439s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 99/220 elapsed=0.000407s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 100/220 elapsed=0.000470s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 101/220 elapsed=0.000418s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 102/220 elapsed=0.000457s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 103/220 elapsed=0.000414s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 104/220 elapsed=0.000432s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 105/220 elapsed=0.000463s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 106/220 elapsed=0.000464s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 107/220 elapsed=0.000464s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 108/220 elapsed=0.000433s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 109/220 elapsed=0.000440s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 110/220 elapsed=0.000522s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 111/220 elapsed=0.000465s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 112/220 elapsed=0.000437s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 113/220 elapsed=0.000508s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 114/220 elapsed=0.000448s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 115/220 elapsed=0.000431s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 116/220 elapsed=0.000433s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 117/220 elapsed=0.000477s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 118/220 elapsed=0.000460s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 119/220 elapsed=0.000432s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 120/220 elapsed=0.000445s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 121/220 elapsed=0.000426s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 122/220 elapsed=0.000526s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 123/220 elapsed=0.000429s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 124/220 elapsed=0.000397s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 125/220 elapsed=0.000423s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 126/220 elapsed=0.000426s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 127/220 elapsed=0.000413s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 128/220 elapsed=0.000407s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 129/220 elapsed=0.000422s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 130/220 elapsed=0.000406s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 131/220 elapsed=0.000432s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 132/220 elapsed=0.000414s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 133/220 elapsed=0.000416s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 134/220 elapsed=0.000438s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 135/220 elapsed=0.000423s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 136/220 elapsed=0.000438s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 137/220 elapsed=0.000423s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 138/220 elapsed=0.000448s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 139/220 elapsed=0.000447s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 140/220 elapsed=0.000432s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 141/220 elapsed=0.000455s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 142/220 elapsed=0.000463s count=1417
[goal3834] pip/numba_dense_all_pairs_scalar_count repeat 143/220 elapsed=0.000414s count=1417
