case_id,workload,dataset,category,parity,cpu_mean_sec,embree_mean_sec,speedup_vs_cpu,input_sizes
lsi_authored_minimal,lsi,authored_lsi_minimal,authored,True,0.000014805,0.000374750,0.039507,"{""left"": 2, ""right"": 1}"
lsi_county_slice,lsi,tests/fixtures/rayjoin/br_county_subset.cdb,fixture,True,0.000079792,0.000186556,0.427710,"{""left"": 3, ""right"": 3}"
lsi_county_tiled_x8,lsi,derived/br_county_subset_segments_tiled_x8,derived,True,0.000716361,0.000657347,1.089777,"{""left"": 48, ""right"": 48}"
pip_authored_minimal,pip,authored_pip_minimal,authored,True,0.000012236,0.000140889,0.086848,"{""points"": 2, ""polygons"": 1}"
pip_county_polygons,pip,tests/fixtures/rayjoin/br_county_subset.cdb,fixture,True,0.000171514,0.000242236,0.708045,"{""points"": 3, ""polygons"": 2}"
pip_county_tiled_x8,pip,derived/br_county_subset_polygons_tiled_x8,derived,True,0.000845222,0.000530903,1.592048,"{""points"": 24, ""polygons"": 16}"
overlay_authored_minimal,overlay,authored_overlay_minimal,authored,True,0.000026347,0.000221986,0.118689,"{""left"": 1, ""right"": 1}"
overlay_county_soil_fixture,overlay,tests/fixtures/rayjoin/br_county_subset.cdb + tests/fixtures/rayjoin/br_soil_subset.cdb,fixture,True,0.000313486,0.000411819,0.761223,"{""left"": 2, ""right"": 0}"
overlay_county_soil_tiled_x8,overlay,derived/br_county_soil_polygons_tiled_x8,derived,True,0.000310361,0.000284347,1.091486,"{""left"": 16, ""right"": 0}"
ray_authored_minimal,ray_tri_hitcount,authored_ray_tri_minimal,authored,True,0.000036236,0.000117806,0.307595,"{""rays"": 2, ""triangles"": 3}"
ray_synthetic_small,ray_tri_hitcount,examples/rtdl_ray_tri_hitcount.py synthetic random generators,synthetic,True,0.001111889,0.000397194,2.799358,"{""rays"": 12, ""triangles"": 20}"
ray_synthetic_medium,ray_tri_hitcount,synthetic/ray_tri_medium,synthetic,True,0.014991431,0.000738778,20.292208,"{""rays"": 48, ""triangles"": 64}"
ray_synthetic_large,ray_tri_hitcount,synthetic/ray_tri_large,synthetic,True,0.221586875,0.001232820,179.739886,"{""rays"": 192, ""triangles"": 256}"
